,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
2386,Roy,Jone,Male,33,1977-08-30,Nurse,0,High Net Worth,N,Yes,9.0
743,Heinrik,0,Male,54,1977-08-30,Graphic Designer,Manufacturing,Affluent Customer,N,Yes,14.0
1135,Ivan,Blackhall,Male,72,1977-08-31,Executive Secretary,Property,High Net Worth,N,No,7.0
2643,Brooke,Alastair,Male,72,1977-09-03,VP Sales,IT,Mass Customer,N,No,12.0
2042,Veronike,Clampett,Female,67,1977-09-05,Software Consultant,0,Mass Customer,N,No,7.0
1544,Carver,Saturley,Male,34,1977-09-06,Associate Professor,Health,Mass Customer,N,Yes,15.0
1208,Jacky,Jerosch,Male,40,1977-09-06,Senior Developer,Property,High Net Worth,N,Yes,11.0
961,Granger,Tuftin,Male,49,1977-09-07,VP Product Management,0,High Net Worth,N,Yes,17.0
1646,Ivory,Roscam,Female,21,1977-09-09,0,Financial Services,High Net Worth,N,Yes,17.0
2569,Hirsch,Peele,Male,13,1977-09-10,Professor,Financial Services,Mass Customer,N,Yes,18.0
2371,Jim,Shoppee,Male,14,1977-09-10,Clinical Specialist,Health,Affluent Customer,N,No,10.0
1956,Gary,Eager,Male,1,1977-09-19,Accountant IV,Property,Affluent Customer,N,No,4.0
2902,Avery,Adamov,Male,47,1977-09-20,Operator,Manufacturing,Affluent Customer,N,Yes,9.0
2948,Alexa,Simanek,Female,68,1977-09-21,0,Telecommunications,Mass Customer,N,No,17.0
1794,Wally,Rebbeck,Male,40,1977-09-21,Internal Auditor,Manufacturing,Affluent Customer,N,No,7.0
1927,Sully,Dorling,Male,2,1977-09-24,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,13.0
2241,Elsy,Springell,Female,25,1977-09-24,VP Sales,0,Mass Customer,N,Yes,21.0
2277,Gerri,Heliet,Male,11,1977-09-25,Product Engineer,Health,Affluent Customer,N,Yes,8.0
2950,Duffy,Godbehere,Male,13,1977-09-25,Community Outreach Specialist,Financial Services,High Net Worth,N,No,12.0
1050,Xylia,Lange,Female,34,1977-09-29,Help Desk Technician,Property,High Net Worth,N,Yes,14.0
1020,Elvis,Rixon,Male,16,1977-10-02,Mechanical Systems Engineer,Retail,High Net Worth,N,No,7.0
1976,Myrtia,Paschke,Female,28,1977-10-04,0,Manufacturing,Mass Customer,N,Yes,5.0
2000,Mada,Martinho,Female,21,1977-10-06,Analog Circuit Design manager,Manufacturing,Mass Customer,N,Yes,3.0
3961,Benoit,0,Male,17,1977-10-06,Project Manager,Argiculture,High Net Worth,N,Yes,14.0
1677,Dale,Hursey,Female,20,1977-10-07,0,Financial Services,High Net Worth,N,Yes,13.0
2176,Waverly,Creebo,Male,35,1977-10-08,Social Worker,Health,Mass Customer,N,No,9.0
2454,Kathe,Heatlie,Female,64,1977-10-09,0,Manufacturing,Mass Customer,N,No,21.0
1733,Adriana,Cullerne,Female,88,1977-10-10,Community Outreach Specialist,Retail,Mass Customer,N,Yes,11.0
2946,Standford,Sauter,Male,75,1977-10-13,0,Manufacturing,Mass Customer,N,No,11.0
2256,Siward,Corradino,Male,27,1977-10-13,Librarian,Entertainment,Mass Customer,N,No,15.0
260,Marve,Pryn,Male,74,1977-10-15,Structural Engineer,0,Mass Customer,N,No,8.0
2976,Ottilie,Filkov,Female,28,1977-10-16,Community Outreach Specialist,0,Affluent Customer,N,No,18.0
1868,Neda,Longfellow,Female,73,1977-10-19,Geologist IV,Financial Services,High Net Worth,N,Yes,9.0
1478,Avrom,Clougher,Male,25,1977-10-20,Help Desk Technician,Argiculture,Mass Customer,N,No,21.0
808,Nevsa,Washtell,Female,83,1977-10-23,Biostatistician III,Health,Mass Customer,N,No,18.0
649,Matthew,Petschelt,Male,81,1977-10-24,Assistant Manager,Health,Mass Customer,N,No,13.0
2402,Karalee,Tremlett,Female,41,1977-10-25,Technical Writer,Financial Services,Affluent Customer,N,No,12.0
1673,Rahal,Woodman,Female,97,1977-10-26,Civil Engineer,Manufacturing,High Net Worth,N,No,20.0
3026,Augy,Rudall,Male,83,1977-10-30,Research Nurse,Health,Mass Customer,N,Yes,5.0
3370,Josey,Alves,Female,56,1977-10-30,Analyst Programmer,Retail,Mass Customer,N,No,17.0
1961,Paddie,Grunder,Male,13,1977-11-01,Sales Representative,Retail,Mass Customer,N,Yes,22.0
2795,Margette,Vidyapin,Female,52,1977-11-01,Web Designer II,Manufacturing,Mass Customer,N,No,9.0
3732,Shelden,Rodenburg,Male,70,1977-11-01,0,0,Mass Customer,N,No,11.0
1839,Sherman,Gullen,Male,22,1977-11-04,Staff Scientist,Argiculture,High Net Worth,N,Yes,20.0
1339,Crawford,Dreini,Male,16,1977-11-05,Statistician I,0,High Net Worth,N,No,18.0
35,Lurette,Stonnell,Female,33,1977-11-09,VP Quality Control,0,Affluent Customer,N,No,22.0
1506,Holmes,Benkin,Male,97,1977-11-10,0,Manufacturing,High Net Worth,N,Yes,22.0
225,Bondie,Letty,Male,96,1977-11-11,Database Administrator IV,Manufacturing,Mass Customer,N,No,20.0
1830,Lisle,Yokel,Male,58,1977-11-13,Social Worker,Health,Mass Customer,N,No,15.0
993,Rhetta,Kupker,Female,62,1977-11-14,Librarian,Entertainment,Affluent Customer,N,Yes,5.0
3537,Kerby,Nassie,Male,19,1977-11-14,Marketing Manager,Health,Mass Customer,N,No,8.0
1303,Emmy,Lumbly,Male,23,1977-11-16,Administrative Assistant III,0,High Net Worth,N,No,11.0
1273,Emmerich,Tinkler,Male,12,1977-11-16,Mechanical Systems Engineer,Manufacturing,Mass Customer,N,No,20.0
1538,Filberte,Godmer,Male,3,1977-11-17,Account Executive,0,Mass Customer,N,Yes,16.0
3939,Anna,Warmington,Female,9,1977-11-18,Sales Representative,Retail,Mass Customer,N,No,9.0
1664,Witty,Lauthian,Male,48,1977-11-18,Quality Engineer,Telecommunications,Mass Customer,N,No,11.0
284,Julee,Janovsky,Female,3,1977-11-19,Community Outreach Specialist,Manufacturing,Mass Customer,N,No,12.0
3446,Linell,0,Female,43,1977-11-23,0,Financial Services,High Net Worth,N,No,17.0
3933,Cherice,Wehner,Female,38,1977-11-25,Sales Associate,Manufacturing,Mass Customer,N,Yes,16.0
2967,Lek,Viel,Male,38,1977-11-25,Human Resources Assistant III,Retail,High Net Worth,N,No,16.0
760,Vaughan,McCromley,Male,12,1977-11-27,Media Manager II,Health,Affluent Customer,N,Yes,4.0
2653,Dawn,Yakovitch,Female,83,1977-11-28,Tax Accountant,Telecommunications,Mass Customer,N,No,13.0
694,Kevan,Kubal,Male,36,1977-11-30,Engineer II,Health,High Net Worth,N,No,11.0
831,Shaun,Murphey,Male,30,1977-11-30,Research Assistant IV,Retail,Mass Customer,N,No,14.0
2789,Shirleen,Shelsher,Female,16,1977-12-01,Account Representative IV,Retail,High Net Worth,N,Yes,20.0
3457,Alejandro,Shakelade,Male,35,1977-12-01,Web Developer III,Manufacturing,High Net Worth,N,Yes,19.0
23,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,Yes,15.0
2818,Clyve,Starmont,Male,63,1977-12-04,Executive Secretary,Manufacturing,Affluent Customer,N,No,14.0
3175,Rafe,Antoniak,Male,60,1977-12-04,Physical Therapy Assistant,0,Affluent Customer,N,No,16.0
3744,Randy,Duligall,Female,90,1977-12-05,Dental Hygienist,Health,Mass Customer,N,Yes,20.0
263,Jedd,Spiby,Male,31,1977-12-07,Technical Writer,Health,Mass Customer,N,No,11.0
1624,Caryl,Clara,Male,20,1977-12-09,Information Systems Manager,Property,Mass Customer,N,Yes,10.0
349,Carmela,Jesper,Female,47,1977-12-09,Clinical Specialist,Health,Mass Customer,N,Yes,9.0
2617,Jay,Prue,Male,85,1977-12-14,Administrative Assistant IV,0,Mass Customer,N,No,4.0
3486,Amalee,Sanderson,Female,4,1977-12-15,Analyst Programmer,Health,High Net Worth,N,No,18.0
439,Sheena,O'Duggan,Female,46,1977-12-16,Business Systems Development Analyst,Telecommunications,Mass Customer,N,No,10.0
1346,Leisha,Signoret,Female,14,1977-12-16,Help Desk Operator,Manufacturing,Mass Customer,N,Yes,14.0
3381,Burk,Walczak,Male,90,1977-12-17,Business Systems Development Analyst,0,High Net Worth,N,No,10.0
3903,Arabelle,Nevill,Female,15,1977-12-17,Sales Representative,Retail,Affluent Customer,N,No,7.0
2661,Louisette,Cullimore,Female,53,1977-12-21,Accountant IV,Property,Mass Customer,N,Yes,16.0
2229,Gertruda,Shrimpling,Female,53,1977-12-22,0,0,Mass Customer,N,No,19.0
2091,Stavros,Hazelby,Male,14,1977-12-22,Safety Technician IV,Manufacturing,High Net Worth,N,No,18.0
3967,Alexandra,Kroch,Female,99,1977-12-22,0,Property,High Net Worth,N,No,22.0
261,Cordie,Petrelli,Male,97,1977-12-23,0,Health,High Net Worth,N,Yes,10.0
1798,Tito,Brash,Male,81,1977-12-23,0,0,Affluent Customer,N,No,17.0
250,Mala,0,Female,88,1977-12-24,VP Sales,Financial Services,Affluent Customer,N,Yes,10.0
3595,Christi,Gilluley,Female,57,1977-12-25,Executive Secretary,Retail,Mass Customer,N,No,20.0
3443,Kara-lynn,Bims,Female,75,1977-12-25,Nurse Practicioner,Manufacturing,Affluent Customer,N,No,7.0
861,Worden,Fossitt,Male,83,1977-12-27,Information Systems Manager,Argiculture,High Net Worth,N,Yes,16.0
2873,Delores,Ashcroft,Female,97,1977-12-28,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,18.0
3661,Pippo,Cator,Male,79,1977-12-30,Community Outreach Specialist,Retail,Mass Customer,N,No,15.0
1078,Dennie,L' Anglois,Male,70,1978-01-03,Nurse Practicioner,Manufacturing,Mass Customer,N,No,18.0
3288,Frederico,Spearman,Male,43,1978-01-04,Assistant Manager,Property,Mass Customer,N,No,12.0
3922,Shay,Rayer,Male,90,1978-01-04,Product Engineer,Financial Services,High Net Worth,N,No,16.0
3064,Winna,Brusle,Female,88,1978-01-05,Recruiter,Financial Services,High Net Worth,N,Yes,13.0
3926,Conway,0,Male,29,1978-01-07,Electrical Engineer,Manufacturing,Mass Customer,N,Yes,7.0
1467,Adaline,Hayles,Female,37,1978-01-10,Financial Advisor,Financial Services,Mass Customer,N,No,22.0
2486,Elton,Piggford,Male,92,1978-01-13,Operator,IT,Affluent Customer,N,Yes,14.0
843,Tome,Tyt,Male,13,1978-01-13,Nurse Practicioner,Financial Services,High Net Worth,N,No,9.0
1581,Francesco,Wasson,Male,32,1978-01-14,Office Assistant III,Property,Mass Customer,N,No,4.0
1826,Stormie,Smyth,Female,92,1978-01-15,Sales Representative,Retail,Affluent Customer,N,Yes,18.0
1844,Pascal,Veronique,Male,34,1978-01-16,General Manager,Financial Services,Mass Customer,N,No,6.0
2335,Karney,Labrone,Male,59,1978-01-19,Dental Hygienist,Health,Affluent Customer,N,No,17.0
3084,Kaleb,Eslemont,Male,91,1978-01-21,Accountant IV,0,Affluent Customer,N,No,5.0
1851,Darby,Shailer,Female,22,1978-01-21,Research Associate,Manufacturing,Affluent Customer,N,No,18.0
2010,Guthrie,MacAne,Male,68,1978-01-22,VP Sales,Manufacturing,High Net Worth,N,Yes,12.0
979,Max,Gronaver,Female,19,1978-01-23,Registered Nurse,Health,Mass Customer,N,No,8.0
408,Tatiania,O'Kane,Female,84,1978-01-23,Executive Secretary,Health,Mass Customer,N,Yes,13.0
75,Rea,Hasser,Female,20,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,18.0
1279,Horacio,Peyntue,Male,71,1978-01-24,Marketing Assistant,Manufacturing,High Net Worth,N,Yes,15.0
423,Dennie,Eunson,Male,77,1978-01-25,Research Nurse,Health,High Net Worth,N,No,9.0
1903,Nert,Muglestone,Female,60,1978-01-25,Technical Writer,IT,High Net Worth,N,Yes,14.0
1393,Freemon,Perago,Male,50,1978-01-27,0,Health,Mass Customer,N,Yes,8.0
1578,Madelaine,Siegertsz,Female,40,1978-01-27,Desktop Support Technician,Financial Services,Affluent Customer,N,Yes,17.0
3145,Fredrika,Kleinmintz,Female,79,1978-01-28,Project Manager,Property,Mass Customer,N,No,15.0
3891,Roma,Finlater,Male,19,1978-01-29,Staff Scientist,0,Mass Customer,N,Yes,15.0
633,Melonie,Zisneros,Female,35,1978-01-30,Speech Pathologist,Manufacturing,Mass Customer,N,No,15.0
883,Pepito,Lamming,Male,11,1978-01-30,Web Designer IV,Property,Mass Customer,N,No,17.0
1662,Analiese,Grimsditch,Female,68,1978-01-30,VP Quality Control,Property,High Net Worth,N,Yes,9.0
2156,Alidia,Petyankin,Female,52,1978-01-30,Community Outreach Specialist,Property,Mass Customer,N,No,19.0
1102,Glynnis,Sailor,Female,76,1978-01-30,Financial Advisor,Financial Services,High Net Worth,N,Yes,20.0
2462,Krystle,Jovicevic,Female,54,1978-01-30,Pharmacist,Health,Mass Customer,N,No,12.0
2123,Damien,Bartczak,Male,17,1978-01-30,0,Retail,High Net Worth,N,No,18.0
3464,Hadria,Pizer,Female,71,1978-02-01,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,7.0
2497,Rosana,Emmatt,Female,70,1978-02-02,Software Test Engineer III,Retail,High Net Worth,N,No,8.0
2057,Ronna,Wickersham,Female,99,1978-02-04,Database Administrator I,Argiculture,High Net Worth,N,No,7.0
1846,Bobinette,Stanaway,Female,68,1978-02-04,Executive Secretary,Manufacturing,Mass Customer,N,No,6.0
2070,Ardis,Ramelet,Female,69,1978-02-07,0,0,Mass Customer,N,No,10.0
725,Norma,Blackbourn,Female,69,1978-02-10,Information Systems Manager,Health,Mass Customer,N,Yes,10.0
904,Dorian,Drinkel,Female,41,1978-02-11,Safety Technician II,Manufacturing,Affluent Customer,N,No,12.0
198,Verla,Alven,Female,61,1978-02-13,Junior Executive,Health,Mass Customer,N,Yes,21.0
717,Cathe,Lorriman,Female,38,1978-02-18,Engineer I,Manufacturing,Mass Customer,N,Yes,7.0
1323,Randie,Arnowitz,Female,88,1978-02-22,Web Designer III,Manufacturing,Mass Customer,N,No,11.0
3877,Waldon,Digges,Male,99,1978-02-24,Programmer III,0,Mass Customer,N,No,9.0
3161,Deanne,Delacour,Female,76,1978-02-24,Media Manager IV,Argiculture,Mass Customer,N,Yes,15.0
1470,Berri,Farr,Female,88,1978-02-24,0,Financial Services,Mass Customer,N,No,15.0
2255,Mara,Rosterne,Female,28,1978-02-26,Marketing Manager,Retail,Mass Customer,N,No,15.0
3694,Lem,Clamp,Male,33,1978-02-27,Account Coordinator,Entertainment,Affluent Customer,N,Yes,3.0
2399,Lindsay,Stollsteiner,Male,73,1978-02-28,Office Assistant III,Property,Mass Customer,N,Yes,22.0
1238,Carroll,Cobbin,Male,9,1978-02-28,0,0,Mass Customer,N,Yes,17.0
1172,Gertie,Chaim,Female,58,1978-03-02,Statistician IV,Retail,High Net Worth,N,No,16.0
759,Shamus,Fyndon,Male,46,1978-03-02,Assistant Professor,0,Mass Customer,N,Yes,18.0
3193,Hakeem,Bernardinelli,Male,38,1978-03-11,Physical Therapy Assistant,Manufacturing,Mass Customer,N,No,11.0
2064,Silvio,Henrichs,Male,66,1978-03-13,Technical Writer,Retail,Mass Customer,N,Yes,12.0
3864,Urbanus,Fuxman,Male,49,1978-03-15,0,Manufacturing,Mass Customer,N,Yes,11.0
2989,Brice,Martinuzzi,Male,65,1978-03-16,GIS Technical Architect,Argiculture,High Net Worth,N,No,8.0
1668,Jabez,Glasspoole,Male,74,1978-03-18,VP Accounting,Financial Services,High Net Worth,N,Yes,21.0
2870,Hubie,Keld,Male,49,1978-03-20,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,15.0
2315,Vernen,Bourgaize,Male,79,1978-03-21,Computer Systems Analyst IV,Financial Services,Affluent Customer,N,Yes,11.0
1194,Ally,Folliott,Female,0,1978-03-22,VP Marketing,Telecommunications,Mass Customer,N,No,18.0
744,Dotty,Maylott,Female,84,1978-03-22,0,Manufacturing,Mass Customer,N,Yes,13.0
2688,Tore,Doerr,Male,17,1978-03-23,Senior Developer,0,Mass Customer,N,No,10.0
63,Gerek,Yve,Male,73,1978-03-25,Legal Assistant,IT,High Net Worth,N,No,4.0
2038,Laureen,Blower,Female,38,1978-03-26,Senior Developer,IT,High Net Worth,N,Yes,7.0
3353,Ollie,Restorick,Male,18,1978-03-27,0,Manufacturing,Mass Customer,N,Yes,11.0
2339,Joachim,Amer,Male,33,1978-03-29,Research Assistant IV,Health,Mass Customer,N,Yes,16.0
3553,Briggs,Mower,Male,34,1978-04-06,GIS Technical Architect,IT,Mass Customer,N,Yes,16.0
2544,Grayce,Aumerle,Female,33,1978-04-11,Tax Accountant,Manufacturing,Mass Customer,N,Yes,16.0
2143,Maureene,Kingstne,Female,12,1978-04-11,Office Assistant IV,Property,Mass Customer,N,Yes,9.0
1577,Andreas,Bazely,Male,60,1978-04-14,0,Health,High Net Worth,N,Yes,11.0
247,Inger,Eskell,Female,76,1978-04-15,Clinical Specialist,Health,Affluent Customer,N,Yes,12.0
3589,Carolan,Velez,Female,32,1978-04-16,0,Manufacturing,Mass Customer,N,Yes,19.0
3966,Lillis,Dobrowolski,Female,90,1978-04-18,Senior Editor,Manufacturing,Affluent Customer,N,No,7.0
584,Tiphany,Bonnier,Female,66,1978-04-20,Pharmacist,Health,Mass Customer,N,Yes,10.0
1363,Selby,Cabbell,Male,99,1978-04-20,Junior Executive,Manufacturing,Mass Customer,N,No,21.0
2722,Morganne,Smitham,Female,71,1978-04-20,Associate Professor,Manufacturing,Mass Customer,N,Yes,18.0
1257,Nefen,Ferriere,Male,89,1978-04-21,Geological Engineer,Manufacturing,Mass Customer,N,No,6.0
2934,Jessi,Aldwich,Female,41,1978-04-23,0,Manufacturing,Mass Customer,N,No,17.0
79,Pablo,Small,Male,11,1978-04-24,Data Coordiator,Entertainment,Mass Customer,N,No,13.0
746,Eula,Bruni,Female,91,1978-04-24,Database Administrator II,0,Mass Customer,N,No,7.0
788,Gabrielle,Giraudot,Female,69,1978-04-28,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,14.0
497,Emmalee,Sketcher,Female,58,1978-04-30,VP Sales,Manufacturing,High Net Worth,N,Yes,10.0
1761,Gaye,Steutly,Female,49,1978-04-30,Research Assistant II,Health,Mass Customer,N,Yes,18.0
1331,Garek,De la Barre,Male,87,1978-05-01,Technical Writer,0,Mass Customer,N,Yes,12.0
1265,Harry,0,Male,68,1978-05-02,Human Resources Manager,Health,Mass Customer,N,Yes,10.0
2924,Henderson,Sloey,Male,36,1978-05-02,Business Systems Development Analyst,Financial Services,Affluent Customer,N,Yes,19.0
3940,Cinnamon,Batram,Female,27,1978-05-03,Technical Writer,Manufacturing,Mass Customer,N,Yes,11.0
3421,Lucine,Virgin,Female,38,1978-05-06,Professor,Manufacturing,Mass Customer,N,No,5.0
1205,Lucina,Metcalf,Female,13,1978-05-07,Paralegal,Financial Services,Mass Customer,N,No,13.0
3176,Titos,Scanes,Male,93,1978-05-07,Database Administrator IV,0,Affluent Customer,N,No,6.0
3096,Alessandro,Casley,Male,2,1978-05-09,Actuary,Financial Services,Affluent Customer,N,Yes,19.0
1726,Everard,0,Male,43,1978-05-10,Assistant Media Planner,Entertainment,High Net Worth,N,No,6.0
1862,Adelbert,Doelle,Male,10,1978-05-11,VP Product Management,Telecommunications,High Net Worth,N,No,20.0
3556,Tisha,Gibbings,Female,79,1978-05-12,0,Health,Affluent Customer,N,No,18.0
1849,Dare,Wasling,Male,4,1978-05-16,Biostatistician II,Manufacturing,High Net Worth,N,No,7.0
3272,Darline,Alpes,Female,72,1978-05-17,General Manager,Entertainment,Mass Customer,N,No,11.0
2148,Lana,Druce,Female,26,1978-05-19,Professor,0,High Net Worth,N,No,6.0
3518,Aldus,Kenningley,Male,16,1978-05-21,Software Consultant,Manufacturing,Mass Customer,N,Yes,11.0
2698,Michal,Woltering,Male,93,1978-05-25,Account Representative IV,Manufacturing,Affluent Customer,N,Yes,16.0
2052,Horatius,Dufton,Male,7,1978-05-28,0,Financial Services,Affluent Customer,N,Yes,11.0
1621,Pietrek,Crowe,Male,44,1978-05-30,Senior Quality Engineer,0,High Net Worth,N,No,16.0
2099,Der,Blatcher,Male,34,1978-05-30,Marketing Assistant,IT,Mass Customer,N,No,14.0
1237,Steward,Beedham,Male,24,1978-06-01,Graphic Designer,0,Affluent Customer,N,Yes,6.0
544,Alecia,Crosse,Female,43,1978-06-04,Project Manager,Health,Mass Customer,N,Yes,18.0
647,Gardiner,Nutley,Male,86,1978-06-04,Accountant II,Financial Services,Mass Customer,N,Yes,9.0
1204,Barton,Baudts,Male,38,1978-06-05,Business Systems Development Analyst,Manufacturing,Affluent Customer,N,No,13.0
1952,Luisa,McGlue,Female,23,1978-06-05,Paralegal,Financial Services,High Net Worth,N,No,12.0
103,Odille,Panketh,Female,40,1978-06-06,Automation Specialist II,Health,Mass Customer,N,Yes,9.0
1180,Brita,Plant,Female,2,1978-06-06,Tax Accountant,Argiculture,Mass Customer,N,No,8.0
3936,Brennen,Mularkey,Male,81,1978-06-07,Tax Accountant,Property,Mass Customer,N,No,12.0
25,Trixi,Ginnelly,Female,12,1978-06-10,Editor,Financial Services,Mass Customer,N,Yes,16.0
895,Idell,Belderson,Female,25,1978-06-10,VP Sales,0,Mass Customer,N,No,15.0
391,Brandyn,Morrid,Male,38,1978-06-14,Safety Technician I,Property,Mass Customer,N,No,13.0
3681,Dukie,Asson,Male,94,1978-06-15,GIS Technical Architect,Financial Services,Mass Customer,N,Yes,11.0
3884,Asher,0,Male,55,1978-06-17,Actuary,Financial Services,Mass Customer,N,Yes,8.0
3144,Gar,Barnewille,Male,17,1978-06-17,Paralegal,Financial Services,High Net Worth,N,Yes,7.0
1377,Ellie,Prester,Female,36,1978-06-18,0,Property,Affluent Customer,N,Yes,7.0
569,Xever,Baldetti,Male,14,1978-06-24,VP Product Management,Financial Services,Mass Customer,N,Yes,15.0
2306,Corina,Shadwick,Female,57,1978-06-28,Desktop Support Technician,Retail,High Net Worth,N,Yes,13.0
3115,Correy,Loynes,Male,16,1978-06-29,0,Health,Mass Customer,N,No,7.0
3818,Alvan,Phillput,Male,62,1978-06-29,Staff Accountant I,0,High Net Worth,N,No,3.0
445,Marilee,Oosthout de Vree,Female,73,1978-07-02,Tax Accountant,IT,Affluent Customer,N,Yes,4.0
1959,Falkner,Jochens,Male,86,1978-07-03,Software Engineer II,0,Mass Customer,N,Yes,10.0
3159,Eadmund,Braycotton,Male,87,1978-07-03,Mechanical Systems Engineer,IT,Mass Customer,N,No,21.0
2418,Aron,Karlsen,Male,96,1978-07-04,Physical Therapy Assistant,Property,High Net Worth,N,No,9.0
3192,Augusta,Henryson,Female,6,1978-07-04,Web Designer IV,Property,High Net Worth,N,No,7.0
2618,Lavinia,Niess,Female,62,1978-07-05,Web Designer I,Financial Services,High Net Worth,N,Yes,14.0
1616,Jannelle,Ort,Female,97,1978-07-06,Compensation Analyst,Financial Services,Affluent Customer,N,No,10.0
1232,Keeley,Hawsby,Female,17,1978-07-07,0,Retail,Affluent Customer,N,Yes,16.0
1731,Elihu,Cudworth,Male,95,1978-07-07,Desktop Support Technician,Argiculture,Mass Customer,N,Yes,10.0
3614,Junia,Napton,Female,63,1978-07-09,Safety Technician II,IT,Mass Customer,N,Yes,8.0
1944,Griffin,Gisbourn,Male,88,1978-07-10,Software Test Engineer II,0,High Net Worth,N,Yes,9.0
74,Dollie,Sealy,Female,28,1978-07-15,VP Product Management,Property,Mass Customer,N,No,19.0
382,Barclay,Shalders,Male,37,1978-07-15,Nurse Practicioner,0,Affluent Customer,N,No,14.0
3028,Timmie,Gori,Male,85,1978-07-17,Business Systems Development Analyst,Manufacturing,Mass Customer,N,No,13.0
1031,Maribelle,Werndly,Female,36,1978-07-18,Executive Secretary,0,Mass Customer,N,Yes,18.0
3956,Bernice,Scotchforth,Female,4,1978-07-20,Business Systems Development Analyst,0,High Net Worth,N,Yes,14.0
2117,Ulrick,Calyton,Male,29,1978-07-22,Developer III,0,High Net Worth,N,No,7.0
1210,Gunar,Petasch,Male,45,1978-07-23,VP Sales,Financial Services,Affluent Customer,N,Yes,14.0
2667,Allan,Govan,Male,27,1978-07-26,Senior Quality Engineer,Health,Mass Customer,N,No,18.0
1541,Sanders,Fernyhough,Male,56,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0
428,Berny,Bold,Female,7,1978-07-30,Community Outreach Specialist,IT,High Net Worth,N,Yes,21.0
2512,Rustie,Ligoe,Male,55,1978-07-31,Structural Analysis Engineer,Property,Mass Customer,N,No,12.0
878,Hestia,Smetoun,Female,58,1978-08-02,0,0,Mass Customer,N,No,12.0
858,Devinne,Tommeo,Female,53,1978-08-02,Geologist I,Financial Services,Affluent Customer,N,Yes,7.0
2684,Demetria,Shoobridge,Female,42,1978-08-06,0,0,Mass Customer,N,No,9.0
999,Paulie,Castelot,Female,44,1978-08-07,Compensation Analyst,Financial Services,Mass Customer,N,No,11.0
924,Nicko,Pembridge,Male,42,1978-08-07,Accountant IV,Manufacturing,Affluent Customer,N,No,16.0
1485,Dag,Landell,Male,14,1978-08-07,Geological Engineer,Manufacturing,Mass Customer,N,No,10.0
1669,Gisella,Ravens,Female,30,1978-08-12,Web Designer II,Retail,Mass Customer,N,No,19.0
2777,Micheil,Pockey,Male,50,1978-08-13,Paralegal,Financial Services,Mass Customer,N,No,12.0
331,Liza,Trouel,Female,23,1978-08-19,Registered Nurse,Health,High Net Worth,N,No,14.0
3263,Garret,Higginbottam,Male,88,1978-08-19,0,Financial Services,Mass Customer,N,Yes,17.0
2605,Addi,Seager,Female,56,1978-08-19,Electrical Engineer,Manufacturing,High Net Worth,N,No,12.0
2556,Lian,Zarfai,Female,37,1978-08-19,0,0,Mass Customer,N,No,19.0
1456,Leonore,Slixby,Female,99,1978-08-20,Speech Pathologist,0,Affluent Customer,N,Yes,12.0
2004,Marina,McElwee,Female,41,1978-08-20,Accountant I,Manufacturing,High Net Worth,N,No,17.0
3124,Krystyna,Scarasbrick,Female,2,1978-08-21,Social Worker,Health,High Net Worth,N,Yes,5.0
2782,Antonin,Gleaves,Male,14,1978-08-24,Sales Representative,Retail,Affluent Customer,N,Yes,7.0
2639,Curran,McMeekan,Male,75,1978-08-24,Computer Systems Analyst IV,0,Affluent Customer,N,No,12.0
1775,Korey,Gate,Male,77,1978-08-26,Accountant I,Financial Services,Affluent Customer,N,No,10.0
1001,Pacorro,De Clairmont,Male,65,1978-08-30,Business Systems Development Analyst,0,Mass Customer,N,Yes,18.0
119,Sloan,Wagg,Male,80,1978-09-02,Legal Assistant,Financial Services,High Net Worth,N,Yes,4.0
3625,Cora,Hince,Female,86,1978-09-02,Senior Cost Accountant,Financial Services,Mass Customer,N,Yes,12.0
3306,Portia,Thirlwall,Female,96,1978-09-02,Analyst Programmer,Health,High Net Worth,N,No,14.0
1046,Standford,Tanswill,Male,39,1978-09-03,VP Accounting,Financial Services,Affluent Customer,N,No,11.0
221,Nev,Larive,Male,89,1978-09-03,Clinical Specialist,Health,Mass Customer,N,No,16.0
551,Hilly,Kleinmann,Male,66,1978-09-09,Geological Engineer,Manufacturing,High Net Worth,N,Yes,20.0
2768,Trevor,Itschakov,Male,31,1978-09-10,Product Engineer,Manufacturing,Affluent Customer,N,Yes,15.0
1853,Mandie,Jeger,Female,11,1978-09-12,Community Outreach Specialist,0,High Net Worth,N,Yes,17.0
2237,Nata,Plinck,Female,96,1978-09-14,Director of Sales,Retail,Mass Customer,N,Yes,14.0
2382,Zaria,Eberz,Female,34,1978-09-15,Compensation Analyst,Financial Services,Mass Customer,N,No,15.0
1958,Arlen,Klossek,Male,3,1978-09-18,Director of Sales,Health,Mass Customer,N,Yes,16.0
